location,target_end_date,reference_date,target,horizon,output_type,output_type_id,value,model
Toronto,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.975,41,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.25,3,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.5,15,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.75,35,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.9,64,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc covid hosp,3,quantile,0.975,137,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.25,1,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.5,6,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.75,20,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.9,40,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc flu hosp,3,quantile,0.975,98,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.025,1,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.1,4,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.25,9,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.5,15,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.75,37,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.9,51,AI4Casting_Hub-Ensemble_v1
West,2026-05-30,2026-05-09,wk inc rsv hosp,3,quantile,0.975,67,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.25,9,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.5,19,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.75,35,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.9,56,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.975,107,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.1,2,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.25,6,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.5,12,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.75,26,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.9,42,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.975,82,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.1,2,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.25,5,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.5,9,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.75,14,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.9,19,AI4Casting_Hub-Ensemble_v1
Central,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.975,28,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.25,5,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.5,14,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.75,28,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.9,50,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.975,97,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.5,3,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.75,12,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.9,22,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.975,53,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.25,5,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.5,7,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.75,13,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.9,17,AI4Casting_Hub-Ensemble_v1
East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.975,27,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.5,4,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.75,13,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.9,29,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.975,70,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.5,3,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.75,8,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.9,14,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.975,42,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.025,1,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.25,1,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.5,3,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.75,4,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.9,7,AI4Casting_Hub-Ensemble_v1
North East,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.975,14,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.25,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.5,3,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.75,12,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.9,30,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.975,83,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.1,0,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.25,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.5,4,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.75,9,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.9,14,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc flu hosp,2,quantile,0.975,41,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.025,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.1,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.25,1,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.5,3,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.75,8,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.9,12,AI4Casting_Hub-Ensemble_v1
North West,2026-05-23,2026-05-09,wk inc rsv hosp,2,quantile,0.975,20,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.025,0,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.1,8,AI4Casting_Hub-Ensemble_v1
Ontario,2026-05-23,2026-05-09,wk inc covid hosp,2,quantile,0.25,26,AI4Casting_Hub-Ensemble_v1
